ID	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Control9	Control10	Control11	Control12	Control13	Control14
OTU11421	3.931726908	2.935532234	4.037113402	6.11875	1				3.122807018					
OTU1144		2.935532234	11.10206186	3.059375	9	46.01645123	51.13056836	10.56950067	9.368421053	4.870646766	7.402646503	24.43681747	6.637288136	3.625925926
OTU11459			1.009278351	6.11875	1		3.007680492							
OTU1146		2.935532234		3.059375		2.300822562		2.642375169						
OTU1151					1					14.6119403	3.701323251			18.12962963
OTU1152		2.935532234	2.018556701	6.11875	2	2.300822562		2.642375169	3.122807018	4.870646766	14.80529301	6.109204368	4.424858757	3.625925926
OTU1153		14.67766117	5.046391753	3.059375	3		3.007680492	2.642375169						
OTU1160						2.300822562				4.870646766			2.212429379	3.625925926
OTU1166			2.018556701		3	6.902467685			3.122807018					
OTU117										14.6119403	7.402646503	6.109204368	4.424858757	3.625925926
OTU1171			1.009278351		1	4.601645123		2.642375169	9.368421053	14.6119403	3.701323251	3.054602184	8.849717514	3.625925926
OTU1174			1.009278351				3.007680492	5.284750337	6.245614035		3.701323251			
OTU1177								2.642375169	3.122807018		7.402646503	3.054602184	6.637288136	7.251851852
OTU11775								5.284750337	3.122807018		3.701323251		4.424858757	3.625925926
OTU11781									3.122807018	4.870646766	7.402646503		2.212429379	3.625925926
OTU11827			1.009278351							14.6119403	3.701323251		2.212429379	
OTU1184		2.935532234									3.701323251	3.054602184	11.06214689	
OTU11915								2.642375169	6.245614035		3.701323251		2.212429379	
OTU1196	3.931726908		2.018556701		3	6.902467685	6.015360983	2.642375169	3.122807018					
OTU11970		2.935532234	1.009278351		2				9.368421053		11.10396975			
OTU12			1.009278351			2.300822562			3.122807018		3.701323251	3.054602184		
OTU12005			1.009278351		1							3.054602184	2.212429379	
OTU1201			1.009278351	9.178125						4.870646766		27.49141966		3.625925926
OTU12025		2.935532234			1							3.054602184	2.212429379	
OTU12096		17.6131934			2			2.642375169				3.054602184	2.212429379	
OTU12105		2.935532234	1.009278351		5							3.054602184	2.212429379	
OTU12141			4.037113402	3.059375	3		3.007680492		3.122807018					
OTU12142	3.931726908				1	2.300822562	3.007680492	2.642375169						
OTU1215		2.935532234						7.927125506		4.870646766		3.054602184	2.212429379	3.625925926
OTU1218	3.931726908	5.871064468			1	6.902467685	3.007680492							
OTU12214	3.931726908			3.059375	1	2.300822562	6.015360983							
OTU1229			2.018556701									12.21840874	2.212429379	32.63333333
OTU12309			1.009278351				18.04608295	2.642375169	3.122807018	4.870646766				
OTU1242			3.027835052		1			2.642375169	3.122807018	14.6119403	18.50661626	6.109204368	11.06214689	
