ID	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Control9	Control10	Control11	Control12	Control13	Control14
OTU2184				6.11875	1	2.300822562		7.927125506		4.870646766		3.054602184	2.212429379	3.625925926
OTU2191						2.300822562					3.701323251	12.21840874	13.27457627	
OTU2195		2.935532234		3.059375	4	4.601645123				4.870646766	3.701323251	3.054602184	11.06214689	14.5037037
OTU2197			1.009278351		1	2.300822562		2.642375169			3.701323251			
OTU21974			1.009278351	3.059375	2		3.007680492							
OTU220		8.806596702						2.642375169		4.870646766	14.80529301	12.21840874	11.06214689	7.251851852
OTU2202	3.931726908			3.059375	4	2.300822562						6.109204368		3.625925926
OTU2205	3.931726908		4.037113402	9.178125	12	2.300822562	3.007680492					9.163806552	15.48700565	7.251851852
OTU22053			1.009278351		1	4.601645123				4.870646766				
OTU22055	3.931726908							5.284750337			3.701323251		2.212429379	
OTU2206										4.870646766	22.20793951		6.637288136	3.625925926
OTU2208	3.931726908	2.935532234	1.009278351	3.059375	2	9.203290247		2.642375169				6.109204368	4.424858757	3.625925926
OTU221	3.931726908	5.871064468	1.009278351	6.11875	4	9.203290247	9.023041475							
OTU2213			4.037113402		1						7.402646503	6.109204368		
OTU2217					2	2.300822562		2.642375169	3.122807018			9.163806552		
OTU223	3.931726908	2.935532234	5.046391753	12.2375	4	2.300822562			3.122807018	38.96517413	18.50661626	3.054602184		
OTU2232		5.871064468	2.018556701		1		6.015360983	5.284750337	6.245614035			3.054602184		
OTU22366		2.935532234						5.284750337		4.870646766				3.625925926
OTU2244			5.046391753	6.11875	6		21.05376344	5.284750337		4.870646766	3.701323251			
OTU225			2.018556701	3.059375	3	18.40658049	9.023041475			4.870646766		12.21840874	6.637288136	
OTU226			1.009278351			4.601645123		5.284750337				3.054602184	6.637288136	
OTU2260	3.931726908	2.935532234	8.074226804		11			5.284750337			3.701323251	9.163806552	28.76158192	3.625925926
OTU2263			3.027835052		1		3.007680492				3.701323251		13.27457627	
OTU2280	3.931726908		8.074226804		4	2.300822562								
OTU2283	3.931726908	5.871064468	13.12061856	3.059375	13									
OTU2290		11.74212894	1.009278351		2	2.300822562								
OTU2304	15.72690763		3.027835052	3.059375	7									
OTU2305			1.009278351		1								2.212429379	3.625925926
OTU2307			1.009278351							4.870646766	7.402646503		2.212429379	7.251851852
OTU2308	3.931726908		1.009278351		3				3.122807018					
OTU2309			9.083505155		1		3.007680492	5.284750337						
OTU2310		2.935532234	4.037113402	6.11875	1	2.300822562								
OTU2329	3.931726908	5.871064468	9.083505155	9.178125	10	4.601645123								
OTU233			4.037113402	3.059375	1			2.642375169					8.849717514	3.625925926
OTU2338			4.037113402		2	2.300822562						6.109204368	4.424858757	
OTU23439			1.009278351			2.300822562	6.015360983						2.212429379	
OTU2348	3.931726908	2.935532234	1.009278351		1	4.601645123								
OTU235	3.931726908		7.064948454		7	9.203290247			3.122807018					10.87777778
OTU2351			1.009278351		2			5.284750337				3.054602184	2.212429379	
OTU23530							3.007680492	7.927125506	3.122807018			3.054602184	2.212429379	
OTU2358			1.009278351					7.927125506	6.245614035					14.5037037
OTU2360			1.009278351				6.015360983	7.927125506	6.245614035					
OTU2361			5.046391753	3.059375	1	2.300822562			3.122807018				2.212429379	
OTU23618	3.931726908		2.018556701	6.11875	1								2.212429379	3.625925926
OTU2366			7.064948454	6.11875	2									3.625925926
OTU2371	3.931726908		1.009278351	3.059375		2.300822562								
OTU2374			1.009278351		1			2.642375169	3.122807018			6.109204368		
OTU23816					2				3.122807018			9.163806552	2.212429379	
OTU2383		5.871064468	2.018556701		1	6.902467685	6.015360983	2.642375169	3.122807018	9.741293532	3.701323251	9.163806552	11.06214689	7.251851852
OTU2398			6.055670103		9		3.007680492		3.122807018			3.054602184	11.06214689	
OTU2400			1.009278351		2		6.015360983	2.642375169						
OTU2404		2.935532234	1.009278351	15.296875				5.284750337	3.122807018			6.109204368	4.424858757	3.625925926
OTU2406			1.009278351						3.122807018			3.054602184	2.212429379	
OTU242	11.79518072	2.935532234	6.055670103	9.178125	13	4.601645123		5.284750337		4.870646766		3.054602184		
OTU2424			1.009278351		1	2.300822562						3.054602184		
OTU243					1			2.642375169			3.701323251		2.212429379	3.625925926
OTU246	3.931726908	8.806596702	23.21340206	70.365625	26	39.11398355	60.15360983	7.927125506	15.61403509	4.870646766	7.402646503	18.3276131	2.212429379	14.5037037
OTU24649			1.009278351	3.059375		2.300822562	3.007680492	2.642375169						
OTU247	3.931726908	2.935532234	2.018556701											3.625925926
OTU248	3.931726908		3.027835052		6		3.007680492	15.85425101	3.122807018			6.109204368	2.212429379	
OTU2484		2.935532234	4.037113402	6.11875	9									
OTU2487			1.009278351	3.059375	3	2.300822562		2.642375169					4.424858757	
OTU2488			2.018556701		2	2.300822562	3.007680492		3.122807018			18.3276131	2.212429379	
OTU249		8.806596702	14.12989691	6.11875	12	20.70740306	27.06912442	10.56950067	3.122807018				2.212429379	
OTU2494		2.935532234	2.018556701		1	2.300822562	3.007680492	2.642375169						
OTU250	35.38554217	8.806596702	7.064948454	33.653125	4	2.300822562	6.015360983	5.284750337	6.245614035	9.741293532	7.402646503	12.21840874	4.424858757	
OTU2511			1.009278351			13.80493537						3.054602184	2.212429379	
OTU2516	3.931726908					4.601645123		2.642375169				3.054602184		
OTU2522					2	2.300822562	6.015360983	2.642375169					2.212429379	
OTU253			18.16701031	18.35625	9	2.300822562	3.007680492					3.054602184		
OTU2530	3.931726908				2	20.70740306	3.007680492	2.642375169	9.368421053					
OTU2533	3.931726908		3.027835052	3.059375					3.122807018					3.625925926
OTU2539		2.935532234	1.009278351		2				9.368421053			3.054602184		
OTU25459	3.931726908		1.009278351		1				3.122807018					
OTU2570		2.935532234	2.018556701						3.122807018			3.054602184		
OTU258				6.11875	1	2.300822562		2.642375169	6.245614035		3.701323251		2.212429379	
OTU2585	3.931726908	8.806596702			3	2.300822562	6.015360983							
OTU25851	3.931726908			12.2375									4.424858757	3.625925926
OTU2590		5.871064468	1.009278351	6.11875	2	2.300822562	3.007680492							
OTU2603		2.935532234	1.009278351			6.902467685	3.007680492							3.625925926
OTU2605	3.931726908	2.935532234			2	4.601645123	6.015360983	5.284750337					2.212429379	
OTU2606	3.931726908	2.935532234	29.26907216	6.11875	16	11.50411281	9.023041475	2.642375169	3.122807018		7.402646503		2.212429379	
OTU262		2.935532234	1.009278351					2.642375169	3.122807018	9.741293532				
OTU263			2.018556701		2		3.007680492	2.642375169						3.625925926
OTU264	3.931726908	5.871064468	66.61237113	48.95	34	2.300822562	3.007680492	29.06612686	40.59649123	4.870646766	3.701323251	12.21840874	2.212429379	10.87777778
OTU2651		2.935532234	1.009278351		1			2.642375169						
OTU2664		2.935532234		3.059375	1	2.300822562			3.122807018					
OTU267	3.931726908	8.806596702	3.027835052	12.2375	2	2.300822562								
OTU268	11.79518072		1.009278351	3.059375	4		6.015360983					3.054602184		3.625925926
OTU2681		2.935532234	2.018556701					7.927125506					2.212429379	
OTU2702			2.018556701			2.300822562	3.007680492					3.054602184	2.212429379	
OTU2706							6.015360983	2.642375169	3.122807018		3.701323251			
OTU27108		2.935532234			1			2.642375169		4.870646766				
OTU2725	3.931726908	2.935532234	14.12989691	3.059375	9	2.300822562								
OTU2733			1.009278351		1		3.007680492		3.122807018					
OTU274	3.931726908		4.037113402			2.300822562	6.015360983							3.625925926
OTU2744								5.284750337	3.122807018		3.701323251	3.054602184		
OTU277	15.72690763	20.54872564	63.58453608	18.35625	25	11.50411281	15.03840246	10.56950067	28.10526316		3.701323251		8.849717514	3.625925926
OTU2774		5.871064468			4				3.122807018					3.625925926
OTU279	3.931726908		2.018556701		3	2.300822562	3.007680492	2.642375169					6.637288136	
OTU2792			2.018556701		1			2.642375169					2.212429379	3.625925926
OTU2809	7.863453815	5.871064468	1.009278351			6.902467685	3.007680492				3.701323251			
OTU2837	3.931726908	8.806596702	15.13917526	3.059375	11	9.203290247	18.04608295				3.701323251	6.109204368	2.212429379	3.625925926
OTU285	3.931726908	2.935532234	9.083505155	12.2375	7	2.300822562	3.007680492			4.870646766	11.10396975	15.27301092	22.12429379	7.251851852
OTU2851			1.009278351	3.059375	2	6.902467685	6.015360983	2.642375169	3.122807018					
OTU2860		2.935532234			2		3.007680492							3.625925926
OTU287					1			5.284750337	3.122807018			3.054602184	2.212429379	
OTU2880	11.79518072	2.935532234	1.009278351		1	2.300822562		2.642375169	6.245614035					
OTU2890			2.018556701		1	2.300822562		2.642375169					2.212429379	
OTU290	11.79518072		2.018556701		1			7.927125506	6.245614035		7.402646503	3.054602184	6.637288136	3.625925926
OTU2906						4.601645123	3.007680492	2.642375169	6.245614035					
OTU2918			3.027835052	6.11875				2.642375169			3.701323251		13.27457627	3.625925926
OTU2919					1				3.122807018			6.109204368	2.212429379	
OTU29311		2.935532234			3	2.300822562						3.054602184	2.212429379	
OTU2938					1		3.007680492	2.642375169	9.368421053		3.701323251		2.212429379	
OTU2941					2	2.300822562		5.284750337		14.6119403	3.701323251		13.27457627	
OTU2943				6.11875						4.870646766	3.701323251		8.849717514	
OTU2945		2.935532234	3.027835052		1						3.701323251	6.109204368		3.625925926
OTU295	3.931726908	2.935532234	1.009278351					2.642375169						
OTU2968				3.059375	1		3.007680492						4.424858757	
OTU297		2.935532234	3.027835052				3.007680492		3.122807018					
OTU2973			3.027835052		1							3.054602184	4.424858757	3.625925926
OTU299	3.931726908	11.74212894	30.27835052	15.296875	23		3.007680492							
OTU2999			1.009278351	3.059375	1	9.203290247	18.04608295							
OTU3		2.935532234				2.300822562		7.927125506		4.870646766	3.701323251		6.637288136	
OTU301		5.871064468	1.009278351		2	2.300822562		7.927125506	9.368421053				13.27457627	
OTU3017										9.741293532	3.701323251		4.424858757	7.251851852
OTU3022					1						11.10396975	6.109204368	6.637288136	
OTU305			1.009278351		2		3.007680492			4.870646766		3.054602184		
OTU30650		2.935532234				2.300822562						3.054602184		3.625925926
OTU307		5.871064468	2.018556701		3		3.007680492			4.870646766	3.701323251			
OTU3077	3.931726908	2.935532234	1.009278351	6.11875	7				6.245614035		7.402646503	3.054602184		3.625925926
OTU308	7.863453815	14.67766117	9.083505155	3.059375	1	9.203290247	18.04608295	2.642375169			3.701323251	3.054602184	4.424858757	3.625925926
OTU3090			1.009278351		1	2.300822562	3.007680492							
OTU3114											7.402646503	6.109204368	2.212429379	3.625925926
OTU3129			1.009278351		1			2.642375169	3.122807018			3.054602184	2.212429379	3.625925926
OTU313		8.806596702	1.009278351	3.059375	4	2.300822562		5.284750337	6.245614035			3.054602184		
OTU3138			1.009278351	3.059375	2			2.642375169						
OTU314	11.79518072	11.74212894		3.059375		2.300822562	3.007680492			4.870646766		12.21840874	2.212429379	3.625925926
OTU3140		5.871064468	1.009278351		2		3.007680492		6.245614035				2.212429379	
OTU3141			1.009278351	3.059375	2	16.10575793								
OTU3143				3.059375	3			5.284750337	15.61403509		7.402646503	12.21840874	2.212429379	
OTU3147	3.931726908		3.027835052		2			2.642375169				3.054602184	4.424858757	
OTU3165					3	4.601645123	3.007680492	2.642375169						
OTU3168		11.74212894	11.10206186	21.415625	3			2.642375169						3.625925926
OTU3170		2.935532234	2.018556701		1								2.212429379	
OTU31721			1.009278351	3.059375	1	2.300822562								
OTU318			1.009278351		1	2.300822562	3.007680492							
OTU3180			1.009278351			2.300822562				4.870646766	7.402646503			
OTU3182						2.300822562	3.007680492				7.402646503	6.109204368	4.424858757	
OTU3187	3.931726908	2.935532234			1								2.212429379	
OTU319		5.871064468	1.009278351	3.059375		6.902467685	18.04608295	2.642375169				6.109204368	2.212429379	
OTU3194			1.009278351	3.059375			6.015360983		3.122807018			3.054602184		
OTU3198		5.871064468			1			2.642375169	6.245614035					
OTU3203	7.863453815	5.871064468		3.059375			3.007680492		3.122807018		3.701323251			
OTU3230	3.931726908	20.54872564	7.064948454	9.178125	1		3.007680492	15.85425101	3.122807018		3.701323251		4.424858757	3.625925926
OTU3233		5.871064468	5.046391753	9.178125	5		6.015360983							
OTU3240		5.871064468	3.027835052		1	2.300822562		5.284750337	3.122807018					
OTU3243					2	4.601645123	18.04608295	15.85425101	6.245614035					
OTU3268			3.027835052		1	2.300822562			3.122807018				2.212429379	
OTU327		2.935532234	15.13917526	6.11875	8	20.70740306	3.007680492	2.642375169	6.245614035				2.212429379	
OTU3270				6.11875	1	2.300822562			9.368421053		3.701323251			
OTU3271				6.11875	2	4.601645123						3.054602184		
OTU3279					8	4.601645123		2.642375169	3.122807018	4.870646766		3.054602184		3.625925926
OTU3292			2.018556701		3			5.284750337	6.245614035		3.701323251	3.054602184	2.212429379	3.625925926
OTU33		8.806596702	1.009278351	3.059375	1			10.56950067		9.741293532		3.054602184		
OTU330	3.931726908	5.871064468			3	11.50411281		7.927125506	31.22807018	4.870646766	3.701323251	12.21840874	8.849717514	10.87777778
OTU3307	19.65863454	8.806596702			2		3.007680492							
OTU3347			3.027835052		5			7.927125506					2.212429379	
OTU335	3.931726908	5.871064468	1.009278351		1	2.300822562			12.49122807			3.054602184	2.212429379	3.625925926
OTU33556		2.935532234	1.009278351				6.015360983							3.625925926
OTU3359			2.018556701						3.122807018	4.870646766	3.701323251		2.212429379	
OTU3381	7.863453815	2.935532234	5.046391753	6.11875	4		9.023041475	2.642375169	3.122807018		3.701323251	3.054602184		
OTU339		2.935532234	2.018556701		2	2.300822562			6.245614035		7.402646503		6.637288136	
OTU3393		2.935532234	1.009278351	3.059375	3		3.007680492							
OTU34			3.027835052	3.059375	4					9.741293532				
OTU342		2.935532234	3.027835052	3.059375	1	4.601645123			9.368421053			6.109204368	4.424858757	
OTU3425			1.009278351			9.203290247			3.122807018				2.212429379	
OTU343		8.806596702	2.018556701	3.059375	3	2.300822562	3.007680492	5.284750337	3.122807018		3.701323251	6.109204368	11.06214689	10.87777778
OTU3431			5.046391753		1				3.122807018			3.054602184		
OTU3453				3.059375			3.007680492	2.642375169	3.122807018					
OTU346	3.931726908	2.935532234	2.018556701			2.300822562			3.122807018					
OTU3464			1.009278351				3.007680492	7.927125506	3.122807018					
OTU3468			1.009278351		3			10.56950067		4.870646766		3.054602184		7.251851852
OTU347	3.931726908	5.871064468	1.009278351	6.11875		2.300822562	6.015360983	7.927125506	6.245614035	4.870646766	3.701323251	3.054602184	4.424858757	18.12962963
OTU3478		2.935532234								19.48258706	29.61058601		4.424858757	
OTU348	3.931726908						3.007680492				3.701323251		2.212429379	
OTU3507					5	2.300822562	3.007680492				3.701323251		4.424858757	
OTU3532			1.009278351					10.56950067	3.122807018				2.212429379	
OTU354		2.935532234	1.009278351	6.11875									2.212429379	
OTU3541	7.863453815	2.935532234			1		3.007680492							
OTU3544	3.931726908	26.4197901	2.018556701		1	4.601645123	3.007680492		3.122807018		3.701323251			
OTU3549			2.018556701		2	4.601645123	3.007680492	2.642375169	12.49122807					
OTU3558				9.178125	5			2.642375169	12.49122807		18.50661626	15.27301092	6.637288136	7.251851852
OTU356	7.863453815	2.935532234	8.074226804		1								6.637288136	
OTU357		2.935532234			1		3.007680492				3.701323251			
OTU3577	3.931726908		4.037113402	12.2375	8									
OTU358	11.79518072		5.046391753		1		9.023041475	2.642375169	3.122807018				2.212429379	
OTU3582			1.009278351		1	2.300822562		2.642375169		9.741293532	11.10396975		6.637288136	3.625925926
OTU35961			1.009278351		1				3.122807018			3.054602184		
OTU361			4.037113402		1		6.015360983	2.642375169	3.122807018				2.212429379	3.625925926
OTU368			4.037113402	3.059375	5	6.902467685	9.023041475		6.245614035					
OTU3692		2.935532234									14.80529301	3.054602184	2.212429379	
OTU3696			1.009278351	9.178125	1							3.054602184	6.637288136	3.625925926
OTU37	11.79518072	20.54872564	8.074226804	12.2375	9	4.601645123	3.007680492	31.70850202	40.59649123	34.09452736	3.701323251	21.38221529	8.849717514	18.12962963
OTU3768			1.009278351		1				3.122807018				8.849717514	
OTU3792		2.935532234	2.018556701	3.059375	2	4.601645123	6.015360983	2.642375169	3.122807018					3.625925926
OTU3799		5.871064468	2.018556701	3.059375	3	4.601645123		5.284750337	3.122807018			12.21840874		
OTU38	3.931726908	5.871064468	1.009278351	3.059375	1		3.007680492					9.163806552	2.212429379	3.625925926
OTU380	3.931726908	5.871064468			2		6.015360983							
OTU3809	7.863453815	5.871064468	7.064948454	3.059375	1	2.300822562	3.007680492							
OTU3829	3.931726908			3.059375	1		3.007680492							
OTU383		2.935532234	2.018556701		3				6.245614035					
OTU3836			2.018556701	3.059375		2.300822562		2.642375169						
OTU384			1.009278351		3				3.122807018	4.870646766				
OTU3843	3.931726908	2.935532234			1					9.741293532		6.109204368	2.212429379	
OTU386		14.67766117	7.064948454	6.11875	11	25.30904818	21.05376344	5.284750337	9.368421053	4.870646766	3.701323251	6.109204368	2.212429379	10.87777778
OTU3899		5.871064468				2.300822562	3.007680492	7.927125506			3.701323251			
OTU3911				3.059375			3.007680492	2.642375169					4.424858757	
OTU3918			1.009278351		2			2.642375169				3.054602184		3.625925926
OTU392	3.931726908		1.009278351		1	2.300822562		5.284750337						
OTU3924			1.009278351		1					4.870646766			2.212429379	
OTU3926	7.863453815	2.935532234	1.009278351					2.642375169			3.701323251		2.212429379	
OTU3936			2.018556701		1	4.601645123						3.054602184	4.424858757	3.625925926
OTU394		2.935532234	6.055670103	3.059375	1								4.424858757	
OTU3948	7.863453815		4.037113402	6.11875		4.601645123		2.642375169	3.122807018		3.701323251	3.054602184		3.625925926
OTU3964			1.009278351									3.054602184	2.212429379	3.625925926
OTU3970					2	13.80493537	3.007680492	5.284750337						3.625925926
OTU398	43.24899598		2.018556701							9.741293532	11.10396975	15.27301092		
OTU4017											7.402646503	6.109204368	4.424858757	3.625925926
OTU4020			1.009278351	3.059375	1			5.284750337						
OTU4023		2.935532234				2.300822562			3.122807018				2.212429379	
OTU404						4.601645123	6.015360983		3.122807018				2.212429379	3.625925926
OTU4043				3.059375			3.007680492	13.21187584	6.245614035				4.424858757	3.625925926
OTU4075				3.059375	1							3.054602184	2.212429379	
OTU4107		2.935532234	1.009278351		15	2.300822562	24.06144393						2.212429379	
OTU4117								2.642375169			3.701323251	3.054602184	2.212429379	
OTU4118		2.935532234	2.018556701		2	4.601645123								14.5037037
OTU4126										4.870646766		3.054602184	2.212429379	3.625925926
OTU4128			1.009278351	3.059375	2			5.284750337						
OTU4151	3.931726908				1				6.245614035			3.054602184	4.424858757	3.625925926
OTU4169					1	2.300822562		2.642375169				3.054602184		
OTU4172			1.009278351		13		9.023041475	5.284750337	6.245614035					
OTU420		2.935532234	1.009278351		3	2.300822562			3.122807018	4.870646766			4.424858757	3.625925926
OTU4203	3.931726908	2.935532234		3.059375		4.601645123								
OTU4205	23.59036145		1.009278351	3.059375	5	6.902467685				4.870646766				
OTU4208		8.806596702	6.055670103	6.11875	2	11.50411281	3.007680492					6.109204368		7.251851852
OTU421			3.027835052	3.059375	2			2.642375169						
OTU4214		5.871064468	1.009278351			2.300822562			3.122807018		7.402646503	3.054602184		
OTU4216		2.935532234	5.046391753			2.300822562								3.625925926
OTU423	7.863453815	11.74212894	5.046391753	6.11875	5		6.015360983		3.122807018				2.212429379	
OTU4230			1.009278351		1							12.21840874		3.625925926
OTU4237					1			2.642375169	3.122807018				2.212429379	3.625925926
OTU4239		2.935532234		3.059375	1			2.642375169					2.212429379	
OTU4244	7.863453815						6.015360983	7.927125506				6.109204368		
OTU426			1.009278351		1			2.642375169					4.424858757	
OTU4272					1	2.300822562							2.212429379	10.87777778
OTU4279			1.009278351		2	2.300822562	3.007680492	2.642375169						
OTU4281			1.009278351		4	2.300822562	3.007680492	10.56950067	6.245614035	9.741293532			11.06214689	10.87777778
OTU4283		5.871064468			1		6.015360983	2.642375169			3.701323251			
OTU4287		2.935532234	1.009278351					2.642375169					2.212429379	
OTU4313								2.642375169		14.6119403	3.701323251		4.424858757	10.87777778
OTU4314		2.935532234					3.007680492	2.642375169			3.701323251			
OTU432			2.018556701	6.11875	5	2.300822562								
OTU4325		5.871064468	3.027835052		3	2.300822562		5.284750337					2.212429379	
OTU4330		2.935532234	1.009278351		3	6.902467685		5.284750337						
OTU4342	11.79518072		3.027835052		2	4.601645123			3.122807018			6.109204368		3.625925926
OTU4346	3.931726908		6.055670103		9	11.50411281	3.007680492							
OTU4350	3.931726908		3.027835052									3.054602184	4.424858757	
OTU4359	3.931726908		6.055670103	6.11875	3			7.927125506				6.109204368		10.87777778
OTU4376								10.56950067				3.054602184	6.637288136	3.625925926
OTU4384			2.018556701		2		3.007680492						2.212429379	
OTU4385		2.935532234	2.018556701		2	2.300822562	3.007680492							
OTU439	11.79518072	14.67766117	6.055670103	3.059375	8	2.300822562	6.015360983	2.642375169		4.870646766	3.701323251	3.054602184	6.637288136	7.251851852
OTU4400	3.931726908		8.074226804	3.059375	6	4.601645123		2.642375169	6.245614035			6.109204368	8.849717514	3.625925926
OTU4409	3.931726908		6.055670103	6.11875	3									
OTU4414	3.931726908	5.871064468	3.027835052	3.059375	4			5.284750337						
OTU4415			11.10206186		7	2.300822562		5.284750337						
OTU4421		5.871064468	3.027835052	6.11875	1		3.007680492	2.642375169						
OTU4441		2.935532234			2	2.300822562	9.023041475					3.054602184		
OTU4445			1.009278351					2.642375169	3.122807018	4.870646766		3.054602184		3.625925926
OTU445			10.09278351	12.2375	10	29.9106933	15.03840246	10.56950067				6.109204368		3.625925926
OTU4474						2.300822562	3.007680492			4.870646766				3.625925926
OTU4475			2.018556701	3.059375	2	2.300822562								
OTU4498		2.935532234		3.059375	1	2.300822562							2.212429379	
OTU4504		11.74212894		3.059375				2.642375169				3.054602184		
OTU4510	27.52208835	2.935532234	1.009278351		1				15.61403509					
OTU4511		5.871064468	8.074226804	3.059375	7									
OTU452	3.931726908		1.009278351		1		3.007680492				3.701323251			
OTU455	11.79518072	26.4197901	14.12989691	9.178125	13	4.601645123	3.007680492	7.927125506				6.109204368	17.69943503	32.63333333
OTU4563		2.935532234						2.642375169	3.122807018			9.163806552	2.212429379	10.87777778
OTU457	3.931726908	2.935532234				2.300822562	3.007680492							
OTU4579		2.935532234			1		3.007680492					6.109204368		
OTU458	3.931726908			3.059375		2.300822562	3.007680492	2.642375169	3.122807018					
OTU461	3.931726908		4.037113402		2					4.870646766		3.054602184	4.424858757	
OTU462			5.046391753	3.059375	2	2.300822562			3.122807018					3.625925926
OTU4627			1.009278351		1		3.007680492		6.245614035	4.870646766				
OTU463			1.009278351		4	4.601645123	9.023041475		3.122807018					
OTU4639	7.863453815	8.806596702							6.245614035			3.054602184	2.212429379	
OTU464	3.931726908	2.935532234	9.083505155	6.11875	2	6.902467685	3.007680492	2.642375169	9.368421053			3.054602184		
OTU4661			2.018556701		3			2.642375169				6.109204368		
OTU4674	15.72690763	2.935532234	1.009278351		1	4.601645123								
OTU4678		2.935532234	2.018556701		2	2.300822562			3.122807018				2.212429379	
OTU4707		5.871064468	8.074226804	3.059375	1	2.300822562	3.007680492	2.642375169				3.054602184		3.625925926
OTU4720			12.11134021	9.178125	27	11.50411281								
OTU4725	3.931726908	5.871064468	1.009278351			4.601645123			3.122807018	4.870646766			6.637288136	3.625925926
OTU4729		2.935532234		3.059375									6.637288136	7.251851852
OTU473		2.935532234	1.009278351	3.059375		2.300822562	3.007680492		6.245614035					
OTU4735			3.027835052	3.059375	2				12.49122807				2.212429379	
OTU4742		2.935532234		3.059375									2.212429379	3.625925926
OTU4799			1.009278351		4	2.300822562						3.054602184		
OTU480			1.009278351			2.300822562	3.007680492	5.284750337				6.109204368		
OTU4812			5.046391753	6.11875		2.300822562	3.007680492							
OTU4826		2.935532234	2.018556701	21.415625		2.300822562	6.015360983							
OTU483					1							15.27301092	2.212429379	3.625925926
OTU4834							3.007680492	2.642375169			3.701323251	3.054602184		
OTU4839				3.059375		2.300822562	3.007680492						2.212429379	
OTU4841	15.72690763		1.009278351										2.212429379	7.251851852
OTU4851		8.806596702			3		6.015360983				11.10396975	3.054602184		
OTU4859			1.009278351	3.059375		4.601645123	3.007680492		3.122807018				4.424858757	
OTU4863			8.074226804	3.059375	5	6.902467685		2.642375169						
OTU4865			1.009278351				3.007680492	2.642375169	3.122807018					
OTU487		8.806596702			2				3.122807018	24.35323383	7.402646503	15.27301092	13.27457627	14.5037037
OTU4883				3.059375			3.007680492					3.054602184	2.212429379	
OTU4896						4.601645123	6.015360983	2.642375169						3.625925926
OTU490	3.931726908	5.871064468				9.203290247	3.007680492		9.368421053					
OTU4920	3.931726908	2.935532234				2.300822562			3.122807018					
OTU4935			3.027835052		1	4.601645123	9.023041475					3.054602184		
OTU494		5.871064468	2.018556701	3.059375	1									
OTU4946	3.931726908	11.74212894	4.037113402	6.11875				2.642375169	49.96491228					
OTU4959				3.059375	1	9.203290247	3.007680492							
OTU4962	3.931726908		3.027835052	3.059375	1				12.49122807					
OTU500	7.863453815					4.601645123	6.015360983		3.122807018	4.870646766		3.054602184		3.625925926
OTU5018					1	2.300822562	9.023041475							7.251851852
OTU5034			2.018556701		1	2.300822562	3.007680492	5.284750337			3.701323251			
OTU504		2.935532234			1	4.601645123						3.054602184		7.251851852
OTU507			1.009278351	6.11875	9			2.642375169	3.122807018			3.054602184		3.625925926
OTU5099						2.300822562		5.284750337				3.054602184	4.424858757	
OTU51		2.935532234	4.037113402		5		6.015360983		9.368421053			3.054602184	2.212429379	
OTU510					1	2.300822562	3.007680492	5.284750337			3.701323251			
OTU5106		5.871064468	1.009278351	3.059375	1		3.007680492	2.642375169						
OTU5110	3.931726908	5.871064468					3.007680492	2.642375169						
OTU5114			1.009278351		2		3.007680492	2.642375169	18.73684211					
OTU514		11.74212894	4.037113402		6					4.870646766	11.10396975		8.849717514	
OTU5168			3.027835052	6.11875			3.007680492		3.122807018					
OTU5211	7.863453815	5.871064468			1			2.642375169		4.870646766				
OTU524		2.935532234	1.009278351	3.059375						4.870646766		3.054602184		
OTU5240			2.018556701		5	4.601645123	3.007680492							
OTU5254			1.009278351	3.059375			3.007680492	2.642375169	3.122807018				2.212429379	3.625925926
OTU526										24.35323383	7.402646503		2.212429379	7.251851852
OTU527		2.935532234	1.009278351		1			2.642375169						
OTU5285			1.009278351								3.701323251	3.054602184		3.625925926
OTU5300				21.415625	1	2.300822562						9.163806552	2.212429379	
OTU531	3.931726908				1	4.601645123					3.701323251		6.637288136	
OTU5328			2.018556701		1							3.054602184	4.424858757	
OTU534	7.863453815			6.11875		2.300822562	3.007680492	2.642375169	6.245614035					
OTU5341		5.871064468	1.009278351	6.11875	1	2.300822562			6.245614035			3.054602184		
OTU537		2.935532234					3.007680492				3.701323251	6.109204368	4.424858757	3.625925926
OTU5417	3.931726908	2.935532234				2.300822562							4.424858757	
OTU543	7.863453815		5.046391753		4	2.300822562		10.56950067	28.10526316	24.35323383		3.054602184	2.212429379	3.625925926
OTU544		2.935532234			1			2.642375169	3.122807018					
OTU5442	3.931726908	2.935532234	2.018556701		1						7.402646503			
OTU546	3.931726908	2.935532234	5.046391753	3.059375	5	4.601645123	21.05376344	2.642375169	9.368421053			15.27301092	15.48700565	7.251851852
OTU554				3.059375	2			2.642375169					2.212429379	
OTU556	11.79518072	14.67766117	1.009278351	18.35625	7	9.203290247	18.04608295	13.21187584	12.49122807					
OTU5585	3.931726908							2.642375169	3.122807018			15.27301092		14.5037037
OTU559			8.074226804	6.11875	13					4.870646766	3.701323251			
OTU562				3.059375	1		3.007680492				3.701323251		2.212429379	10.87777778
OTU5658			1.009278351	3.059375	1	2.300822562	3.007680492							3.625925926
OTU566	11.79518072	5.871064468	4.037113402	3.059375	10	2.300822562						3.054602184		
OTU5687			1.009278351		1			2.642375169				3.054602184	2.212429379	3.625925926
OTU569			12.11134021		2	2.300822562	9.023041475							
OTU5696			1.009278351				6.015360983	5.284750337	3.122807018		3.701323251			
