ID	Warming1	Warming2	Warming3	Warming4	Warming5	Warming6	Warming7	Warming8	Warming9	Warming10	Warming11	Warming12	Warming13	Warming14
OTU13291	18.55124892	2.472222222				6.061919505							9.913924051	
OTU13294				3.358490566			1.760791367		6.109204368			1.290705339		
OTU1331		2.472222222			2.008205128			5.291891892		2.532988357			4.956962025	
OTU13338	3.37295435	2.472222222	16.73504274		2.008205128			2.645945946						
OTU13404	3.37295435			3.358490566								2.581410679	4.956962025	
OTU1344		7.416666667	4.183760684		10.04102564							5.162821358		
OTU1354		2.472222222					1.760791367	5.291891892		2.532988357		2.581410679		
OTU13550	1.686477175	2.472222222					1.760791367		3.054602184		3.347008547	1.290705339		
OTU1356				3.358490566		15.15479876	3.521582734	7.937837838	6.109204368					
OTU1357			4.183760684	3.358490566						5.065976714	13.38803419			
OTU13588				3.358490566	2.008205128						3.347008547	1.290705339		
OTU13602							5.282374101	2.645945946	9.163806552			5.162821358		
OTU1361										20.26390686	30.12307692	1.290705339	4.956962025	3.831702544
OTU1365	1.686477175				2.008205128		3.521582734	2.645945946	3.054602184	7.598965071	3.347008547	1.290705339		
OTU1367	1.686477175						1.760791367	2.645945946		12.66494179			4.956962025	
OTU13707									3.054602184	2.532988357		1.290705339		3.831702544
OTU13711	1.686477175		4.183760684					2.645945946			16.73504274			
OTU13787	1.686477175							2.645945946	3.054602184			1.290705339		
OTU1380			4.183760684	3.358490566	4.016410256		12.32553957		3.054602184	10.13195343			4.956962025	11.49510763
OTU1382		2.472222222								15.19793014	6.694017094	5.162821358	14.87088608	
OTU1388							1.760791367			22.79689521	23.42905983	7.744232037	24.78481013	3.831702544
OTU139	1.686477175									5.065976714	10.04102564	1.290705339	19.8278481	
OTU13943		2.472222222			4.016410256				3.054602184			1.290705339	4.956962025	
OTU1396										2.532988357		2.581410679	9.913924051	3.831702544
OTU13974			4.183760684	3.358490566			1.760791367			2.532988357				
OTU1399	1.686477175				2.008205128							3.872116018	4.956962025	
OTU1400		2.472222222				3.030959752				10.13195343	3.347008547			
OTU1401										7.598965071	20.08205128	2.581410679	14.87088608	3.831702544
OTU14044	1.686477175				2.008205128		1.760791367					1.290705339		
OTU14048	1.686477175			3.358490566		3.030959752					6.694017094			
OTU1406	1.686477175				2.008205128		1.760791367	2.645945946						
OTU1410					6.024615385		7.043165468	7.937837838				1.290705339		
OTU1412				3.358490566						32.92884864	20.08205128	1.290705339	4.956962025	3.831702544
OTU1416	1.686477175									17.7309185	10.04102564		9.913924051	3.831702544
OTU1419	1.686477175			6.716981132			1.760791367	7.937837838						
OTU14211	5.059431525	2.472222222		6.716981132	2.008205128	6.061919505	5.282374101		3.054602184					
OTU1423	1.686477175			3.358490566	4.016410256	9.092879257	5.282374101	2.645945946		2.532988357	6.694017094	3.872116018		11.49510763
OTU14297	1.686477175	2.472222222					1.760791367		3.054602184			1.290705339		
OTU14345	3.37295435						1.760791367		3.054602184			1.290705339		
OTU1441							1.760791367		3.054602184		3.347008547	1.290705339	4.956962025	
OTU1443		4.944444444		3.358490566			1.760791367			2.532988357		2.581410679		
OTU14457	3.37295435						1.760791367		3.054602184		3.347008547			
OTU1461							1.760791367	2.645945946	3.054602184				4.956962025	
OTU1469	1.686477175	2.472222222			2.008205128		1.760791367				3.347008547		4.956962025	
OTU147	1.686477175								3.054602184	7.598965071	3.347008547	3.872116018		19.15851272
OTU1470							1.760791367			17.7309185	36.81709402	1.290705339	4.956962025	3.831702544
OTU14776			8.367521368					2.645945946	3.054602184			1.290705339		
OTU1493							1.760791367	2.645945946	3.054602184			2.581410679		
OTU1494					2.008205128			2.645945946			3.347008547	2.581410679		
OTU1496	1.686477175					3.030959752				2.532988357	3.347008547	1.290705339		
OTU1498				3.358490566	10.04102564	3.030959752	1.760791367	2.645945946		12.66494179	16.73504274	5.162821358	14.87088608	19.15851272
OTU150		2.472222222	8.367521368		2.008205128		1.760791367	2.645945946						
OTU1501										17.7309185	3.347008547	2.581410679		3.831702544
OTU1506				3.358490566	8.032820513		1.760791367					2.581410679		
OTU1509	5.059431525			3.358490566	2.008205128		1.760791367	2.645945946				2.581410679	4.956962025	3.831702544
OTU1510	8.432385874	12.36111111		10.0754717	6.024615385		5.282374101	18.52162162	12.21840874			3.872116018		
OTU1513	5.059431525			3.358490566			1.760791367					1.290705339		
OTU1516	1.686477175	4.944444444	4.183760684			3.030959752		2.645945946	6.109204368					
OTU152	1.686477175		8.367521368		2.008205128	3.030959752	7.043165468		12.21840874		13.38803419	7.744232037		3.831702544
OTU1522	1.686477175			6.716981132				13.22972973	6.109204368			2.581410679		3.831702544
OTU15239	1.686477175	2.472222222			2.008205128	3.030959752	1.760791367							
OTU1526		2.472222222		3.358490566		3.030959752	7.043165468	2.645945946						
OTU1527		2.472222222		10.0754717	2.008205128		7.043165468			2.532988357		3.872116018		
OTU1528					2.008205128			13.22972973	3.054602184			10.32564272		3.831702544
OTU1533	1.686477175				4.016410256		7.043165468	13.22972973	3.054602184					
OTU15350			4.183760684			3.030959752		13.22972973						3.831702544
OTU1537				3.358490566	4.016410256			5.291891892				2.581410679	4.956962025	3.831702544
OTU1546		4.944444444			4.016410256	6.061919505	1.760791367							
OTU1548	1.686477175	2.472222222	4.183760684	3.358490566	2.008205128	15.15479876	5.282374101	2.645945946	12.21840874			5.162821358	4.956962025	
OTU1550	3.37295435	9.888888889		10.0754717	6.024615385		3.521582734	2.645945946				3.872116018	4.956962025	3.831702544
OTU1552		7.416666667	12.55128205	10.0754717	4.016410256			5.291891892		12.66494179	3.347008547	2.581410679	4.956962025	3.831702544
OTU156			4.183760684		2.008205128			2.645945946				2.581410679		3.831702544
OTU1560	3.37295435							2.645945946	3.054602184			3.872116018		3.831702544
OTU1563										10.13195343	16.73504274	2.581410679	4.956962025	3.831702544
OTU1569		2.472222222							3.054602184	5.065976714	3.347008547	1.290705339		
OTU1572				6.716981132			3.521582734	7.937837838	9.163806552			1.290705339		
OTU1575				3.358490566		3.030959752	1.760791367					1.290705339		
OTU1582	1.686477175		8.367521368		4.016410256	3.030959752	5.282374101	18.52162162				9.034937376		
OTU1583	1.686477175		8.367521368			12.12383901	3.521582734	2.645945946				1.290705339		
OTU1585	1.686477175	7.416666667	4.183760684						3.054602184			1.290705339		
OTU1586	6.745908699	17.30555556	4.183760684	3.358490566	2.008205128	3.030959752	1.760791367	5.291891892	6.109204368			5.162821358		
OTU159	1.686477175						1.760791367		3.054602184	83.58861578	46.85811966	36.13974951	84.26835443	45.98043053
OTU1592		24.72222222			2.008205128	3.030959752		2.645945946						3.831702544
OTU15939								2.645945946		2.532988357	3.347008547	1.290705339		3.831702544
OTU1594	8.432385874		4.183760684	3.358490566	6.024615385		7.043165468	5.291891892	3.054602184			5.162821358		
OTU1595	1.686477175	4.944444444		3.358490566			1.760791367	2.645945946	3.054602184					
OTU1601		2.472222222					5.282374101	5.291891892				1.290705339		
OTU16013							1.760791367	5.291891892		2.532988357		3.872116018		
OTU1602	18.55124892				4.016410256		12.32553957	2.645945946	9.163806552		3.347008547	2.581410679		
OTU16049						6.061919505	1.760791367		3.054602184	2.532988357				
OTU1615	1.686477175				2.008205128			2.645945946	3.054602184			2.581410679		
OTU1618	1.686477175						1.760791367		3.054602184	5.065976714	16.73504274			3.831702544
OTU1619						18.18575851	5.282374101	5.291891892	6.109204368			1.290705339		
OTU16204	1.686477175	2.472222222			2.008205128		3.521582734					1.290705339		
OTU16212			4.183760684	3.358490566	2.008205128									3.831702544
OTU1627	1.686477175		4.183760684			6.061919505	15.8471223	5.291891892	9.163806552			6.453526697		
OTU163		4.944444444		13.43396226	6.024615385	18.18575851			9.163806552	5.065976714	6.694017094	1.290705339		
OTU16322	6.745908699		4.183760684	3.358490566				7.937837838	3.054602184					
OTU1633				3.358490566	2.008205128			2.645945946	3.054602184					
OTU16375				3.358490566				2.645945946		2.532988357		2.581410679		
OTU1643		2.472222222	4.183760684	3.358490566		9.092879257	5.282374101	2.645945946	6.109204368			1.290705339		
OTU16440				3.358490566	2.008205128			2.645945946	3.054602184			1.290705339		
OTU1646					2.008205128		1.760791367		3.054602184			1.290705339		
OTU16467		2.472222222	4.183760684	3.358490566									4.956962025	
OTU16485	1.686477175			3.358490566				2.645945946				1.290705339	4.956962025	
OTU16503							1.760791367	5.291891892	3.054602184	2.532988357				
OTU16544					2.008205128	3.030959752	1.760791367		3.054602184			2.581410679		
OTU1662			8.367521368		2.008205128			2.645945946	3.054602184					3.831702544
OTU167										20.26390686	16.73504274	1.290705339	4.956962025	3.831702544
OTU1675		2.472222222		3.358490566				2.645945946		2.532988357	6.694017094	2.581410679	19.8278481	
OTU1676	1.686477175			3.358490566		3.030959752		2.645945946	3.054602184		3.347008547	1.290705339		
OTU1683						3.030959752	1.760791367					3.872116018		7.663405088
OTU16834		2.472222222			2.008205128	3.030959752		2.645945946						
OTU1685	1.686477175	2.472222222			2.008205128	3.030959752	1.760791367				3.347008547	1.290705339		
OTU1686	3.37295435				2.008205128	6.061919505	3.521582734		9.163806552		10.04102564	2.581410679	4.956962025	
OTU1689	13.4918174			3.358490566		3.030959752		2.645945946		27.86287193	33.47008547	1.290705339	14.87088608	3.831702544
OTU169	1.686477175				8.032820513	3.030959752		2.645945946		5.065976714				
OTU1693		2.472222222	8.367521368		2.008205128		8.803956835	2.645945946				2.581410679		
OTU1696		2.472222222	4.183760684	6.716981132	2.008205128		7.043165468		6.109204368					
OTU1697		4.944444444	4.183760684						3.054602184	5.065976714		2.581410679		
OTU17		2.472222222		6.716981132	4.016410256	3.030959752			6.109204368		20.08205128	1.290705339		
OTU1709		2.472222222			2.008205128	3.030959752	1.760791367		3.054602184			7.744232037		
OTU17096	6.745908699			3.358490566				5.291891892					19.8278481	
OTU171	1.686477175	4.944444444	4.183760684		2.008205128				6.109204368	7.598965071	6.694017094	1.290705339		
OTU1714	1.686477175	2.472222222		3.358490566		3.030959752	1.760791367	2.645945946						
OTU1716				3.358490566		6.061919505	1.760791367					5.162821358		
OTU17165					2.008205128		1.760791367		3.054602184					3.831702544
OTU1720		2.472222222				12.12383901					10.04102564	3.872116018	4.956962025	3.831702544
OTU1722	3.37295435	2.472222222	4.183760684	3.358490566	2.008205128	6.061919505		5.291891892						
OTU1724		7.416666667		3.358490566			1.760791367					1.290705339	4.956962025	7.663405088
OTU17256			4.183760684	3.358490566							3.347008547	2.581410679		
OTU1729		2.472222222		10.0754717	8.032820513	12.12383901				2.532988357		5.162821358		26.82191781
OTU1731	5.059431525	12.36111111	4.183760684	3.358490566	10.04102564	3.030959752	1.760791367	2.645945946	9.163806552		3.347008547	7.744232037	4.956962025	3.831702544
OTU1732						3.030959752		2.645945946		2.532988357	6.694017094	1.290705339		3.831702544
OTU1734				6.716981132	4.016410256	3.030959752	7.043165468	5.291891892	6.109204368					
OTU1738					8.032820513	12.12383901				2.532988357		1.290705339		
OTU174	3.37295435	2.472222222				3.030959752		2.645945946		5.065976714	6.694017094	1.290705339	4.956962025	3.831702544
OTU1748					2.008205128	9.092879257	1.760791367			7.598965071		1.290705339		
OTU1750	5.059431525	9.888888889				9.092879257			3.054602184			1.290705339		
OTU1751	1.686477175	2.472222222			2.008205128	6.061919505	3.521582734	2.645945946			3.347008547	2.581410679		
OTU17570	1.686477175					3.030959752	1.760791367		12.21840874					
OTU1759	1.686477175	7.416666667	16.73504274	6.716981132		21.21671827	10.5647482	13.22972973	6.109204368		3.347008547	1.290705339		
OTU1760	1.686477175			3.358490566	4.016410256	6.061919505	1.760791367	5.291891892						
OTU17614	1.686477175						1.760791367		3.054602184			5.162821358		
OTU1766		2.472222222		3.358490566		6.061919505								3.831702544
OTU1768		2.472222222			4.016410256	6.061919505	1.760791367							
OTU1769		4.944444444		3.358490566	2.008205128	6.061919505	1.760791367							
OTU177	3.37295435		16.73504274	20.1509434	2.008205128			2.645945946		10.13195343	3.347008547	5.162821358	24.78481013	45.98043053
OTU17718							5.282374101	2.645945946	3.054602184			1.290705339		
OTU1776				3.358490566		3.030959752	3.521582734	5.291891892	6.109204368					
OTU1778	1.686477175				2.008205128	3.030959752						1.290705339		
OTU17826	3.37295435		4.183760684				3.521582734	2.645945946	3.054602184				4.956962025	
OTU1789	1.686477175	4.944444444				3.030959752	3.521582734					1.290705339		3.831702544
OTU1790			4.183760684	3.358490566		9.092879257	1.760791367		6.109204368			3.872116018		
OTU1795	3.37295435	2.472222222				3.030959752		2.645945946				1.290705339		
OTU1796	3.37295435	2.472222222				9.092879257	1.760791367	2.645945946	3.054602184			6.453526697		
OTU1797	1.686477175	2.472222222		3.358490566	6.024615385	3.030959752	3.521582734							
OTU1798	3.37295435	4.944444444	4.183760684			6.061919505			3.054602184			3.872116018		
OTU1800	15.17829457		4.183760684	3.358490566	2.008205128	6.061919505	1.760791367	5.291891892				1.290705339		
OTU18057	1.686477175			3.358490566							3.347008547	3.872116018		
OTU1807	3.37295435		4.183760684		4.016410256	3.030959752			3.054602184	2.532988357		1.290705339		3.831702544
OTU18124		2.472222222			2.008205128	3.030959752			3.054602184					
OTU1814	1.686477175	2.472222222	8.367521368		4.016410256	3.030959752	1.760791367		3.054602184	2.532988357	10.04102564			
OTU18210		2.472222222	4.183760684				3.521582734		3.054602184			2.581410679		
OTU18244						3.030959752	1.760791367				3.347008547	2.581410679		
OTU1825	5.059431525	2.472222222				3.030959752			3.054602184			3.872116018		
OTU1831			4.183760684	3.358490566	2.008205128		1.760791367					6.453526697		
OTU18317		2.472222222					1.760791367		3.054602184			1.290705339		
OTU18323		2.472222222					1.760791367						9.913924051	3.831702544
OTU18379	6.745908699				2.008205128		1.760791367						4.956962025	
OTU18424	3.37295435						1.760791367		3.054602184			1.290705339		
OTU18429		2.472222222					1.760791367	2.645945946		2.532988357				
OTU1851	1.686477175						3.521582734	2.645945946	9.163806552					
OTU1852			20.91880342		4.016410256	3.030959752			6.109204368					
OTU1858	1.686477175	2.472222222		6.716981132		6.061919505	14.08633094					1.290705339	4.956962025	11.49510763
OTU1862	1.686477175	2.472222222			6.024615385	3.030959752	3.521582734	5.291891892		2.532988357	10.04102564	3.872116018		11.49510763
OTU1866		2.472222222	4.183760684			30.30959752	1.760791367					2.581410679		
OTU18688	1.686477175				2.008205128			2.645945946		2.532988357				
OTU1870	1.686477175						1.760791367	5.291891892				1.290705339		
OTU18808		2.472222222			2.008205128		3.521582734		9.163806552				9.913924051	3.831702544
OTU1890	6.745908699			6.716981132	2.008205128			2.645945946	6.109204368			5.162821358		3.831702544
OTU1903	1.686477175				2.008205128			2.645945946			3.347008547			
OTU19035	1.686477175		4.183760684				1.760791367					1.290705339		
OTU1906	3.37295435	2.472222222		13.43396226		6.061919505	3.521582734	2.645945946					24.78481013	
OTU19116		2.472222222					1.760791367	5.291891892				1.290705339		
OTU19201			4.183760684				1.760791367		3.054602184					3.831702544
OTU1924	1.686477175				2.008205128		1.760791367	2.645945946		2.532988357		1.290705339		
OTU19241			4.183760684			3.030959752	5.282374101	2.645945946					4.956962025	
OTU1933		2.472222222	4.183760684		2.008205128			5.291891892		2.532988357				
OTU19354	3.37295435						1.760791367	2.645945946				7.744232037		
OTU1939	1.686477175			3.358490566			1.760791367	7.937837838						
OTU19396					2.008205128	3.030959752	5.282374101				3.347008547			
OTU1942			4.183760684	3.358490566				2.645945946		5.065976714		2.581410679		3.831702544
OTU1945	23.61068045			3.358490566							3.347008547			3.831702544
OTU1949	6.745908699			6.716981132	2.008205128				6.109204368					
OTU1951					2.008205128			2.645945946		2.532988357	6.694017094			3.831702544
OTU19522	1.686477175				2.008205128	6.061919505						2.581410679	4.956962025	
OTU1956	1.686477175		4.183760684	3.358490566			8.803956835		6.109204368					
OTU1958	1.686477175	2.472222222	16.73504274	6.716981132										
OTU196		4.944444444			2.008205128		1.760791367			2.532988357		1.290705339		
OTU1960			8.367521368				1.760791367			2.532988357				3.831702544
OTU1962	5.059431525				2.008205128		1.760791367		3.054602184			6.453526697		
OTU1965		7.416666667		10.0754717						2.532988357	6.694017094	1.290705339		3.831702544
OTU1977	1.686477175	2.472222222			2.008205128				30.54602184			3.872116018		7.663405088
OTU198	1.686477175		4.183760684		6.024615385		7.043165468		3.054602184	2.532988357				
OTU1980	3.37295435	4.944444444	4.183760684		10.04102564	6.061919505	1.760791367	2.645945946						
OTU1986			4.183760684	3.358490566						2.532988357		1.290705339		
OTU19863			8.367521368	13.43396226							3.347008547		4.956962025	3.831702544
OTU1987	1.686477175			3.358490566	2.008205128	3.030959752	3.521582734		6.109204368	2.532988357		1.290705339		
OTU1994	1.686477175		4.183760684	3.358490566		3.030959752						2.581410679	4.956962025	
OTU1997		2.472222222	4.183760684			3.030959752	1.760791367							
OTU1998		2.472222222	4.183760684		2.008205128			2.645945946						
OTU200	5.059431525		4.183760684	26.86792453							3.347008547	1.290705339		
OTU2002			8.367521368	3.358490566		3.030959752		2.645945946						
OTU2003		2.472222222	4.183760684	3.358490566	2.008205128							1.290705339		
OTU2007			4.183760684	3.358490566	4.016410256	6.061919505						1.290705339	4.956962025	
OTU2012	10.11886305	4.944444444	4.183760684	3.358490566			3.521582734							3.831702544
OTU2017					2.008205128		3.521582734	2.645945946					4.956962025	
OTU2018		2.472222222	4.183760684	3.358490566									4.956962025	
OTU2036	3.37295435			3.358490566	2.008205128		1.760791367					1.290705339		
OTU2040	1.686477175	2.472222222	4.183760684	3.358490566		9.092879257		7.937837838	3.054602184				4.956962025	
OTU2052	6.745908699	7.416666667		6.716981132								5.162821358		
OTU2053	1.686477175	4.944444444	4.183760684	3.358490566			1.760791367					2.581410679		
OTU2072	1.686477175		4.183760684				1.760791367			2.532988357		1.290705339		
OTU2073	13.4918174	4.944444444				3.030959752	1.760791367	2.645945946	6.109204368			2.581410679		
OTU2092							3.521582734	5.291891892	3.054602184					3.831702544
OTU20944			4.183760684	3.358490566					3.054602184			2.581410679		
OTU2100	1.686477175		8.367521368				1.760791367		3.054602184			3.872116018	4.956962025	
OTU21045										2.532988357	6.694017094	3.872116018		3.831702544
OTU21261				6.716981132			1.760791367		6.109204368	5.065976714				
OTU2128	1.686477175			3.358490566			7.043165468		15.27301092			2.581410679		
OTU2130	3.37295435		4.183760684			3.030959752			3.054602184					
OTU2135		2.472222222		3.358490566			3.521582734	21.16756757		2.532988357		1.290705339		
OTU214		2.472222222									3.347008547		9.913924051	3.831702544
OTU2142	8.432385874	2.472222222			2.008205128		1.760791367	7.937837838						3.831702544
OTU21445		2.472222222					1.760791367		3.054602184			1.290705339		
OTU21456	1.686477175	2.472222222					1.760791367		3.054602184			1.290705339		
OTU2147							1.760791367			7.598965071	3.347008547	2.581410679		3.831702544
OTU21473	1.686477175		4.183760684					5.291891892	6.109204368					
OTU2157	5.059431525			3.358490566	2.008205128		1.760791367			2.532988357		1.290705339		3.831702544
OTU2159		2.472222222				3.030959752	1.760791367				3.347008547	3.872116018	4.956962025	
OTU21620								2.645945946	3.054602184	2.532988357			4.956962025	
